User-ID,Selected-Book,Hidden-Book,Hit
259223,space|jamesamichener,thetestament|johngrisham,False
45068,houseofsandandfog|andredubusiii,whiteoleanderanovel|janetfitch,False
11708,missjuliaspeakshermindanovel|annbross,theredtentbestsellingbacklist|anitadiamant,False
112280,thefourthhand|johnirving,empirefalls|richardrusso,False
100009,thebrethren|johngrisham,thefirsthorseman|johncase,False
91611,tuesdayswithmorrieanoldmanayoungmanandlifesgreatestlesson|mitchalbom,confessionsofashopaholicsummerdisplayopportunity|sophiekinsella,False
56625,atimetokill|johngrisham,stolenlivestwentyyearsinadesertjail|malikaoufkir,False
41676,theshortforever|stuartwoods,thecatwhobroughtdownthehouse|lilianjacksonbraun,True
275074,thelittleprince|antoinedesaintexupry,lakewobegondays|garrisonkeillor,False
223326,nightsins|tamihoag,bridgetoterabithia|katherinepaterson,False
36121,neverwhere|neilgaiman,mysideofthemountain|jeancraigheadgeorge,False
240670,empirefalls|richardrusso,straightmananovelvintagecontemporaries|richardrusso,False
171118,tokillamockingbird|harperlee,writingdownthebones|nataliegoldberg,False
14521,theheartisalonelyhunter|carsonmccullers,ofmiceandmenpenguingreatbooksofthe20thcentury|johnsteinbeck,False
13646,thebridgeacrossforever|richardbach,jonathanlivingstonseagull|richardbach,False
38457,thebeachhouse|jamespatterson,criticalmass|stevenpaulmartini,False
89632,thegirlwholovedtomgordon|stephenking,piercingthedarkness|frankeperetti,False
94952,theballadoffrankiesilver|sharynmccrumb,bookedtodiecliffjanewaynovelspaperback|johndunning,False
207366,thehandmaidstale|margaretatwood,peaceiseverystepthepathofmindfulnessineverydaylife|thichnhathahn,False
244627,bookclub|maryalicemonroe,mannerofdeath|stephenwhite,False
12330,pandoranewtalesofthevampiresnewtalesofthevampires|annerice,actsofmalice|perrioshaughnessy,False
229391,coastroadanovel|barbaradelinsky,summersisters|judyblume,False
81136,acaseofneed|michaelcrichton,apaintedhouse|johngrisham,False
264204,anneofgreengablesanneofgreengablesnovelspaperback|lmmontgomery,thekloneandiahightechlovestory|daniellesteel,False
223210,thedeependoftheoceanoprahsbookclubhardcover|jacquelynmitchard,alightinthewindowthemitfordyears|jankaron,False
170568,thealibi|sandrabrown,beforeisaygoodbye|maryhigginsclark,False
90517,waitingthetrueconfessionsofawaitress|debraginsberg,theprinceoftides|patconroy,False
182847,harrypotterandtheorderofthephoenixbook5|jkrowling,messageinabottle|nicholassparks,False
240267,survivalofthefittestanalexdelawarenovel|jonathankellerman,thelovelybonesanovel|alicesebold,False
113633,adaylateandadollarshort|terrymcmillan,thefirstcounsel|bradmeltzer,False
3154,politicallycorrectbedtimestoriesmoderntalesforourlifeandtimes|jamesfinngarner,uhohsomeobservationsfrombothsidesoftherefrigeratordoor|robertfulghum,False
64449,thestonemonkeylincolnrhymenovelspaperback|jefferydeaver,stillwatch|maryhigginsclark,False
171445,readinglolitaintehranamemoirinbooks|azarnafisi,metalkprettyoneday|davidsedaris,False
137480,melodylogan|vcandrews,crytoheaven|annerice,False
113568,roadlesstraveledanewpsychologyoflovetraditionalvaluesandspritualgrowthtouchstonebookspaperback|mscottpeck,theamazingadventuresofkavalierampclay|michaelchabon,False
62778,dirkgentlysholisticdetectiveagency|douglasadams,thehitchhikersguidetothegalaxy|douglasadams,False
88283,confessionsofashopaholicsummerdisplayopportunity|sophiekinsella,thenannydiariesanovel|emmamclaughlin,True
135946,wheretheheartisoprahsbookclubpaperback|billieletts,outlander|dianagabaldon,False
41589,thefirm|johngrisham,timeflies|billcosby,False
37974,tearsofthegiraffeno1ladiesdetectiveagency|alexandermccallsmith,pisforperil|suegrafton,False
153507,tigereyes|judyblume,christine|stephenking,False
39374,apaintedhouse|johngrisham,thelovelybonesanovel|alicesebold,False
144899,theorchidthiefballantinereaderscircle|susanorlean,mrmaybe|janegreen,False
138586,bodyofevidence|patriciacornwell,thewomannextdoor|barbaradelinsky,False
245150,paristothemoon|adamgopnik,interviewwiththevampire|annerice,False
108132,16lighthouseroad|debbiemacomber,cheetplumebooks|annadavis,False
19972,livinghistory|hillaryrodhamclinton,dontsweatthesmallstuffanditsallsmallstuffsimplewaystokeepthelittlethingsfromtakingoveryourlifedontsweatthesmallstuffseries|richardcarlson,False
187290,giftfromthesea|annemorrowlindbergh,ariverrunsthroughitandotherstoriesandotherstories|normanmaclean,False
219597,thecuriousincidentofthedoginthenighttimetodayshowbookclub13|markhaddon,seabiscuitanamericanlegend|laurahillenbrand,False
51082,unnaturalexposure|patriciadanielscornwell,thelastprecinct|patriciadanielscornwell,False
153040,animalfarm|georgeorwell,richdadpoordadwhattherichteachtheirkidsaboutmoneythatthepoorandmiddleclassdonot|roberttkiyosaki,False
32942,skippingchristmas|johngrisham,thedonovanlegacy|noraroberts,False
225834,ontheroad|jackkerouac,anthem|aynrand,False
119386,neitherherenortheretravelsineurope|billbryson,stilllifewithwoodpecker|tomrobbins,True
254299,littlealtarseverywhereanovel|rebeccawells,nightsinrodanthe|nicholassparks,False
250506,silentwitness|richardnorthpatterson,unnaturalexposure|patriciadanielscornwell,False
146081,shock|robincook,insomnia|stephenking,False
235671,kisforkillergraftonsuekinseymillhonemysteries|suegrafton,withoutremorse|tomclancy,False
78496,therainmaker|johngrisham,adensityofsouls|christopherrice,False
